Model,Processor,RAM,Storage,Configuration,Part Number AAVA,Part Number M3,Item Name M3,Approvals
I/O Adapter Rugged Frame,,,,,ACADAP010B00,70177207,RUGGED FRAME IO ADAPTER using Rugged Frame with Scanner Frame FULL-DS for TAB-IND 08 and TAB-IND 10,
"Tablet Hand Strap, adjustable, TPE",,,,,AU02010002,70177208,HA TAB-IND TPE ADJUST. for TAB-IND 08 and TAB-IND 10,
"Tablet Hand Strap, adjustable, Nylon",,,,,IN02040013.1,70177209,HA TAB-IND NYLON ADJUST. for TAB-IND 08 and TAB-IND 10,
"Shoulder strap, length adjustable",,,,,IN02040014.1,70177210,SHOULDER STRAP FOR TAB-IND 08 and TAB-IND 10,
"VESA Smartback 10"" (EU AC adapter)",,,,,ACSTND06BA00.2,589749,"VESA 75/100 SmartBack for 10"" Tab-IND with EU AC adapter",
"VESA Smartback 10"" (US AC adapter)",,,,,ACSTND06AA00.1,590105,"VESA75 SMARTBACK 10"", US AC adapter",
"VESA Smartback 10"" (UK AC adapter)",,,,,ACSTND06BC00.1,590329,"VESA75 SMARTBACK 10"", UK AC adapter",
"VESA Smartback 10"" (JP AC adapter)",,,,,ACSTND06CA00.1,590106,"VESA75 SMARTBACK 10"", JP AC adapter",
"USB-C to USB-C cable, 1m",,,,,AMME3695,570157,"USB CABLE C TO C, 1 M",
"Passive stylus, 6mm tip, ECOM branded ",,,,,IN02040096.1,70154951,ST 02 STYLUS WITH TETHER ,
"Payment Smartback 8"" Link2500i",,,,,ACPSB8010C00,570007,8-inch modular expansion back designed to mount a payment terminal onto a mobile tablet,
"Payment Smartback 8"" Equinox 6200m MSR",,,,,ACPSB8050A00,570017,Integrate an Equinox Luxe 6200m mobile payment terminal onto the back of an 8-inch enterprise tablet,
"Payment Smartback 8"" Verifone e235",,,,,ACPSB8070A00,589351,tablet mount or housing unit designed to integrate the Verifone e235 mobile payment terminal with an 8-inch tablet setup,
"Payment Smartback 8"" Moby5500m",,,,,ACPSB8080A00,589519,"a secure, attachable back-shell enclosure designed to physically integrate the Ingenico Moby/5500M compact mobile card reader onto an 8-inch enterprise tablet",
"Payment Smartback 8"" MSR non-encrypting",,,,,INO2050027,570492,specialized hardware expansion accessory designed for the OONA 8-inch rugged Android POS tablet,
"Smartback Adapter 8"" on 10""",,,,,ACPWRP030B00,70198483,"use 8-inch Smart-Backs (such as payment terminals, barcode scanners, or battery expansions) on 10-inch Aava Mobile tablets",
